title,description,NER
Four people killed in Jashore road accident,"Four people were killed and another injured on Sunday in a collision between a truck and a private car at Dhopakhola Nimtala on Jessore-Benapole highway in sadar upazila, reports UNB. The deceased are Sadman, 27, son of Iqbal Chowdhury of Bayazid police station, Naim, 35, son of Ismail, Syed, 45, son of Badshah and Shahabuddin, son of Zahir Ahmed of the same area. According to highway police, five people were going to Benapole from Chattogram in a private car to buy cows. The private car collided with a Jashore-bound truck when it reached Dhopakhola at 12:25pm, leaving four people dead on the spot. Ali Newaz, who sustained injuries, was admitted to Jessore General Hospital. The driver managed to escape with the truck after the accident. Navaran highway police SI Md Wahid said the bodies were recovered.","[('Four', 'CARDINAL'), ('Sunday', 'DATE'), ('Dhopakhola Nimtala', 'GPE'), ('Jessore-Benapole highway', 'FAC'), ('UNB', 'ORG'), ('Sadman', 'PERSON'), ('27', 'DATE'), ('Iqbal Chowdhury', 'PERSON'), ('Bayazid', 'GPE'), ('Naim', 'PERSON'), ('35', 'DATE'), ('Ismail', 'PERSON'), ('Syed', 'PERSON'), ('45', 'DATE'), ('Badshah', 'PERSON'), ('Shahabuddin', 'PERSON'), ('Zahir Ahmed', 'PERSON'), ('five', 'CARDINAL'), ('Benapole', 'GPE'), ('Chattogram', 'GPE'), ('Jashore', 'GPE'), ('Dhopakhola', 'GPE'), ('12:25pm,', 'TIME'), ('four', 'CARDINAL'), ('Ali Newaz', 'PERSON'), ('Jessore General Hospital', 'ORG'), ('Navaran', 'GPE'), ('Md Wahid', 'PERSON')]"
Three killed in Mymensingh road accident,"Three people, including a motorcycle rider, were killed in a road accident on the Mymensingh-Tangail highway in Rasulpur area under Muktagachha upazila of the district on Tuesday, reports BSS. The deceased were identified as motorcycle rider Selim, 25, Sabuj, 20, and Onta, 19. All the deceased are from Charipara village of Muktagachha upazila. Officer-in-charge (OC) of Muktagachha police station, Dulal Akand said the accident occurred when a speedy truck crushed with a motorcycle in the area around 8.00pm, leaving motorcycle rider Selim dead on the spot and injuring the other riders. Being informed, police rushed to the spot and recovered the dead body. The wounded were taken to Muktagachha Upazila Health Complex where on-duty doctors declared Sobuj dead. Onta was shifted to Mymensingh Medical College Hospital (MMCH) as his condition deteriorated. Later, he succumbed to his injuries at the hospital, the OC said. Police has detained the truck along with its driver, said the police officer.","[('Three', 'CARDINAL'), ('Mymensingh', 'GPE'), ('Rasulpur', 'GPE'), ('Muktagachha', 'GPE'), ('Tuesday', 'DATE'), ('BSS', 'ORG'), ('Selim', 'PERSON'), ('25', 'DATE'), ('Sabuj', 'PERSON'), ('20', 'DATE'), ('Onta', 'PERSON'), ('19', 'DATE'), ('Charipara', 'GPE'), ('Muktagachha', 'GPE'), ('Muktagachha', 'GPE'), ('Dulal Akand', 'PERSON'), ('around 8.00pm,', 'TIME'), ('Selim', 'PERSON'), ('Muktagachha Upazila Health Complex', 'ORG'), ('Sobuj', 'PERSON'), ('Onta', 'PERSON'), ('Mymensingh Medical College Hospital', 'ORG'), ('MMCH', 'ORG')]"
2 killed in Fatullah road accident,"Two passengers of a battery-run auto-rickshaw were killed when it collided with a covered van on the old Dhaka-Narayanganj highway adjacent to Masdair Amena Garments of Fatullah, reports UNB. The deceased have been identified as Afasar Uddin, 56 and Abbas Uddin, 48. Rakibuzzaman, officer-in-charge, Fatullah model police station confirmed the news. ""The locals rushed the injured to Narayanganj General Hospital where the duty physician declared two of them dead, "" he said. ""Locals held the driver of the covered van and handed him over to police."" At least 468 people were killed and 507 others injured in 432 road accidents across the country in April amid the nationwide lockdown, according to a report of Bangladesh Jatri Kalyan Samity. Besides, six more people were killed in eight accidents on rail tracks, 38 people were killed and nine others injured in 14 accidents on river routes while two others went missing during the month.","[('Two', 'CARDINAL'), ('Dhaka', 'GPE'), ('Masdair Amena Garments', 'FAC'), ('Fatullah', 'GPE'), ('UNB', 'ORG'), ('Afasar Uddin', 'PERSON'), ('56', 'DATE'), ('Abbas Uddin', 'PERSON'), ('48', 'DATE'), ('Rakibuzzaman', 'PERSON'), ('Fatullah', 'GPE'), ('Narayanganj General Hospital', 'ORG'), ('two', 'CARDINAL'), ('At least 468', 'CARDINAL'), ('507', 'CARDINAL'), ('432', 'CARDINAL'), ('April', 'DATE'), ('Bangladesh', 'GPE'), ('six', 'CARDINAL'), ('eight', 'CARDINAL'), ('38', 'CARDINAL'), ('nine', 'CARDINAL'), ('14', 'CARDINAL'), ('two', 'CARDINAL'), ('the month', 'DATE')]"
"7 killed in three road accidents in Chattogram, Rangamati","At least seven people, including women and children, have been killed in three separate road accidents in Chattogram and Rangamati on Friday, reports UNB. About 22 more people were injured in these accidents. The accidents occurred in EPZ Steel Mills Bazar and Shikalbaha area of Karnafuli police station on Friday. According to police, three people, including a woman and a child, were killed when a bus overturned at Steel Mills Bazar area under EPZ police station around 12:00pm. Witnesses said a speeding bus hit a rickshaw at Sailo Road and crushed the pedestrians, losing its control while escaping at Friday noon. EPZ police officer-in-charge Utpal Barua said the mob detained the driver and helper of the bus and handed them over to the police. The bus was also seized. Meanwhile, three people were killed and at least 20 others injured in a head-on collision between two buses at Shikalbaha Chaumuhoni area of Karnafuli upazila. However, the identities of the injured were not immediately known. Police TI Anwar Azim said two buses collided while overtaking a CNG, injuring several passengers of the two buses. Two of them died. In Rangamati, a ninth-grader schoolgirl was killed in a head-on collision between a motorbike and a Jeep at Bangalhaliya's Shafipur area of Rajasthali-Chandraghona highway on Friday morning. The deceased was identified as Opruiching Marma, 18, daughter of Mongbaching Marma of Farua union in Bilachhari upazila. She is a ninth-grader student of Chitmaram High School. Two people including a motorcyclist were injured in the accident. Md Iqbal Bahar Chowdhury, officer-in-charge (OC) of Chandraghona police station, said legal action is being taken in this case. Police are searching for the jeep.","[('At least seven', 'CARDINAL'), ('three', 'CARDINAL'), ('Chattogram', 'GPE'), ('Rangamati', 'GPE'), ('Friday', 'DATE'), ('UNB', 'ORG'), ('About 22', 'CARDINAL'), ('Shikalbaha', 'GPE'), ('Karnafuli', 'GPE'), ('Friday', 'DATE'), ('three', 'CARDINAL'), ('Steel Mills Bazar', 'LOC'), ('EPZ', 'GPE'), ('around 12:00pm.', 'TIME'), ('Sailo Road', 'FAC'), ('Friday', 'DATE'), ('noon', 'TIME'), ('EPZ', 'ORG'), ('Utpal Barua', 'PERSON'), ('three', 'CARDINAL'), ('at least 20', 'CARDINAL'), ('two', 'CARDINAL'), ('Shikalbaha Chaumuhoni', 'LOC'), ('Karnafuli', 'GPE'), ('Anwar Azim', 'PERSON'), ('two', 'CARDINAL'), ('CNG', 'PRODUCT'), ('two', 'CARDINAL'), ('Two', 'CARDINAL'), ('Rangamati', 'GPE'), ('ninth', 'ORDINAL'), ('Jeep', 'PRODUCT'), ('Bangalhaliya', 'GPE'), ('Shafipur', 'GPE'), ('Rajasthali', 'GPE'), ('Friday', 'DATE'), ('morning', 'TIME'), ('Opruiching Marma', 'PERSON'), ('18', 'DATE'), ('Mongbaching Marma', 'PERSON'), ('Farua', 'GPE'), ('Bilachhari', 'GPE'), ('ninth', 'ORDINAL'), ('Chitmaram High School', 'ORG'), ('Two', 'CARDINAL'), ('Md Iqbal Bahar Chowdhury', 'PERSON'), ('Chandraghona', 'GPE')]"
ASI killed in Chattogram road accident,"An assistant sub-inspector (ASI) of police, Kazi Md Salahuddin, was killed in a road accident early Friday at Meheraj Khan Ghata in Chandgaon, Chattogram. He had been on the way to recover a consignment of local liquor when he was hit by a vehicle and killed. The deceased Kazi Md Salahuddin was the ASI of Chandgaon police station. He was the son of Kazi Nader Zaman of South Jaipur of the sadar thana in Lakshmipur district. Officer-in-charge (OC) of Chandgaon police station, Mustafizur Rahman, told Prothom Alo on Friday morning that Salahuddin had been on night duty in Maulvi Pukurpar, C&B and adjacent areas. He was tipped off about a black microbus (registration no. Dhaka Metro Cha 15- 3665) carrying local liquor from the hill tracts to Chattogram city. The OC further said Salahuddin and his driver constable Md Masum signalled the microbus to halt in front of the Meheraj Khan Ghata petrol pump in Chandgaon police station around 4:00 am. The microbus slowed down and the two members of the police went forward. But the microbus driver suddenly picked up speed and the vehicle hit Salahuddin. He fell to one side of the road, receiving injuries in his head, back and other parts of his body. Masum was injured too. OC Mustafizur Rahman said Salahuddin was taken to Chattogram Medical College Hospital. Masum is under treatment there. The microbus has been seized by the police, but the driver and his associates fled. Around 730 litres of local liquor was recovered from the vehicles. He said, a drive is on to arrest the driver and the others in the vehicle.","[('Kazi Md Salahuddin', 'PERSON'), ('early Friday', 'TIME'), ('Meheraj Khan Ghata', 'GPE'), ('Chandgaon', 'GPE'), ('Chattogram', 'GPE'), ('Kazi Md Salahuddin', 'PERSON'), ('Chandgaon', 'GPE'), ('Kazi Nader Zaman', 'PERSON'), ('South Jaipur', 'GPE'), ('Lakshmipur', 'GPE'), ('Chandgaon', 'GPE'), ('Mustafizur Rahman', 'PERSON'), ('Prothom Alo', 'ORG'), ('Friday', 'DATE'), ('Salahuddin', 'PERSON'), ('night', 'TIME'), ('Maulvi Pukurpar', 'GPE'), ('Chattogram', 'GPE'), ('Salahuddin', 'PERSON'), ('Md Masum', 'PERSON'), ('Meheraj Khan Ghata', 'FAC'), ('Chandgaon', 'GPE'), ('around 4:00 am', 'TIME'), ('two', 'CARDINAL'), ('Salahuddin', 'PERSON'), ('one', 'CARDINAL'), ('Masum', 'PERSON'), ('Mustafizur Rahman', 'PERSON'), ('Salahuddin', 'PERSON'), ('Chattogram Medical College Hospital', 'ORG'), ('Masum', 'PERSON'), ('Around 730 litres', 'QUANTITY')]"
Mother-son killed in Sylhet road accident,"A woman and her two-year-old son died in a head-on collision between a private car and a bus on Dhaka-Sylhet highway in Sylhet on Sunday, reports UNB. Five others were injured in the accident. Police identified the deceased as Beauty Roy, wife of Gopesh Roy of Nabiganj upazila in Habiganj, and her son Rupak Roy. The accident occurred at Satmail around 1:30pm when the Dhaka-bound bus collided with the Sylhet-bound private car. Beauty Roy died on the spot and her son succumbed to his injuries while being taken to the hospital, said Monirul Islam, officer-in-charge of South Surma police station.","[('two-year-old', 'DATE'), ('Dhaka', 'GPE'), ('Sylhet', 'GPE'), ('Sunday', 'DATE'), ('UNB', 'ORG'), ('Five', 'CARDINAL'), ('Beauty Roy', 'PERSON'), ('Gopesh Roy', 'PERSON'), ('Nabiganj upazila', 'ORG'), ('Habiganj', 'GPE'), ('Rupak Roy', 'PERSON'), ('Satmail', 'GPE'), ('around 1:30pm when the Dhaka', 'TIME'), ('Sylhet', 'GPE'), ('Beauty Roy', 'PERSON'), ('Monirul Islam', 'PERSON'), ('South Surma', 'GPE')]"
"RAB member, another killed in Gazipur road accident","Two people, including a member of Rapid Action Battalion (RAB-4), were killed when a microbus hit a stationary RAB vehicle on Dhaka-Mymensingh highway in Gazipur on Wednesday, reports UNB. The deceased were identified as Mohammad Khairul Islam, a member of RAB-4 and motor mechanic Liton Mia, said RAB SI Md Rakib. Other four injured are RAB’s senior warrant officer Md Shariful Islam, soldier Atiq, corporal Pradeep Kumar and motor mechanic Rifat. They have been airlifted to Dhaka CMH from Sreepur Hospital in Gazipur in a special helicopter, said Maona Highway police camp in-charge Kamar Hossain. SI Rakib said a microbus of RAB-4 went to Bhabanipur area of Gazipur sadar upazila and suddenly it stopped running due to mechanical fault on the way from Dhaka to Sreepur. Later, local mechanics Rifat and Liton were called to repair it. All of a sudden, another speedy microbus hit the RAB-4 stationary van from behind, leaving four RAB members and two mechanics were seriously injured. Later, they were taken to Al Hera Medical Center in Sreepur upazila for treatment where the duty physician declared Khairul Islam dead.","[('Two', 'CARDINAL'), ('Rapid Action Battalion', 'ORG'), ('RAB', 'ORG'), ('Dhaka', 'GPE'), ('Gazipur', 'GPE'), ('Wednesday', 'DATE'), ('UNB', 'ORG'), ('Mohammad Khairul Islam', 'PERSON'), ('Liton Mia', 'PERSON'), ('RAB', 'ORG'), ('Md Rakib', 'PERSON'), ('four', 'CARDINAL'), ('RAB', 'ORG'), ('Md Shariful Islam', 'PERSON'), ('Atiq', 'PERSON'), ('Pradeep Kumar', 'PERSON'), ('Rifat', 'PERSON'), ('Dhaka', 'GPE'), ('Sreepur Hospital', 'FAC'), ('Gazipur', 'GPE'), ('Maona Highway', 'FAC'), ('Kamar Hossain', 'PERSON'), ('Rakib', 'PERSON'), ('Bhabanipur', 'GPE'), ('Gazipur', 'GPE'), ('Dhaka', 'GPE'), ('Sreepur', 'GPE'), ('Rifat', 'PERSON'), ('Liton', 'PERSON'), ('four', 'CARDINAL'), ('RAB', 'ORG'), ('two', 'CARDINAL'), ('Al Hera Medical Center', 'ORG'), ('Sreepur', 'GPE'), ('Khairul Islam', 'PERSON')]"
3 killed in Chattogram road accident,"At least three people, including two women, were killed after a truck hit an auto rickshaw head-on in Banshkhali upazila of Chattogram on Monday, reports UNB. Two other people were injured in the accident which occurred near Boilgaon area around noon. Police are yet to identify the victims. Banshkhali Police Station's duty officer assistant sub-inspector Jahangir Alam said three people died on the spot after the collision. The injured were hospitalised after rescue, he said.","[('At least three', 'CARDINAL'), ('two', 'CARDINAL'), ('Banshkhali', 'GPE'), ('Chattogram', 'GPE'), ('Monday', 'DATE'), ('UNB', 'ORG'), ('Two', 'CARDINAL'), ('Boilgaon', 'GPE'), ('around noon', 'TIME'), (""Banshkhali Police Station's"", 'ORG'), ('Jahangir Alam', 'PERSON'), ('three', 'CARDINAL')]"
Road accident kills two workers in Noakhali,"Two workers were killed as a pickup hit a rickshaw van on Begumganj-Chowmuhani road near Eklashpur Bazar area in Begumganj upazila of Noakhali on Monday night, reports BSS. The deceased were identified as Abdullah Al Mamun Akash, 17, resident of Katawalago village in Eklashpur union of the upazila and Nur Nabi, 16, from the same area. Locals said the accident occurred in the area when four workers were picking up sand in a rickshaw van. At one stage, a speedy pickup from the opposite direction hit the rickshaw van, leaving injured the duo seriously. The injured were taken to hospitals. One of the injured died at Noakhali Sadar Hospital. Another died at Dhaka Medical College Hospital. Officer-in-charge (OC) of Begumganj Model police station Muhammad Kamruzzaman Sikder confirmed the incident.","[('Two', 'CARDINAL'), ('Begumganj-Chowmuhani road', 'FAC'), ('Eklashpur Bazar', 'GPE'), ('Noakhali', 'GPE'), ('Monday', 'DATE'), ('night', 'TIME'), ('BSS', 'ORG'), ('Abdullah Al Mamun Akash', 'PERSON'), ('17', 'DATE'), ('Katawalago', 'GPE'), ('Eklashpur', 'GPE'), ('Nur Nabi', 'PERSON'), ('16', 'DATE'), ('four', 'CARDINAL'), ('one', 'CARDINAL'), ('One', 'CARDINAL'), ('Noakhali Sadar Hospital', 'ORG'), ('Dhaka', 'GPE'), ('Medical College Hospital', 'ORG'), ('Begumganj', 'GPE'), ('Muhammad Kamruzzaman Sikder', 'PERSON')]"
Couple killed in Meherpur road accident,"An elderly man and his wife were killed and five others injured in a road accident on Amjhupi-Garadove highway in Meherpur Sadar upazila on Tuesday morning, reports BSS. The deceased were identified as Abdus Sattar, 65, from Komorpur village of Mujibnagar upazila of Meherpur district and his wife Sara Khatun, 60. “Abdus Sattar and his wife fell victim to the accident when they were returning home after Sattar, being a cancer patient, received Chemotherapy from Rajshahi Medical College Hospital at around 8:00am,” confirmed by Meherpur sadar police station officer-in-charge (OC) Shahdara. Sara Khatun died on the spot when the driver of the microbus carrying them lost control over the steering and fell into a roadside ditch, said the microbus driver Redwan Ahmed who also is injured in the accident. Critically injured in the accident Abdus Sattar died on the way to Meherpur General Hospital. Police recovered the bodies and sent those to Meherpur General Hospital morgue.","[('five', 'CARDINAL'), ('Amjhupi-Garadove', 'FAC'), ('Meherpur Sadar upazila', 'GPE'), ('Tuesday', 'DATE'), ('morning', 'TIME'), ('BSS', 'ORG'), ('Abdus Sattar', 'PERSON'), ('65', 'DATE'), ('Komorpur', 'GPE'), ('Mujibnagar upazila', 'GPE'), ('Meherpur', 'GPE'), ('Sara Khatun', 'PERSON'), ('60', 'DATE'), ('Abdus Sattar', 'PERSON'), ('Sattar', 'PERSON'), ('Rajshahi Medical College Hospital', 'ORG'), ('around 8:00am,”', 'TIME'), ('Meherpur', 'GPE'), ('Shahdara', 'PERSON'), ('Sara Khatun', 'PERSON'), ('Redwan Ahmed', 'PERSON'), ('Abdus Sattar', 'PERSON'), ('Meherpur General Hospital', 'ORG'), ('Meherpur General Hospital', 'ORG')]"
