,title,news
0,Two killed in Habiganj road accident,"Two youths were killed in a head-on collision between a motorcycle and a CNG-run auto rickshaw in Natun Bazar area on Habiganj-Srimangal road under Bahubal upazila of Habiganj district on Saturday.The deceased were identified as Jamir Uddin, 40, and his cousin Shakil Ahmed Ramim, 35, of Tabajkhani village under Baniachang upazila of the district.According to local sources, the accident occurred in the area when the victims going to Srimangal by a motorbike collided head-on with a CNG-run auto rickshaw coming from the opposite direction at around 11am, leaving them injured seriously. Later, locals admitted to Habiganj Modern District Sadar Hospital, where on-duty doctor Mitun Roy declared them dead."
1,323 killed in road accidents during Eid holiday,"Bangladesh Jatri Kalyan Samity revealed the information in a report in a press briefing at the National Press Club in the capital city on Sunday.Mozammel Hoque Chowdhury, secretary general of the organisation said during the event that the movement of public was limited during the holiday due to the lockdown. But as the inter-district transports were suspended, people used alternative ways to travel. Travelling in private vehicles, especially private cars, microbuses, motorcycles, auto-rickshaws, battery-powered rickshaws, trucks, pickups and covered vans have increased the number of accidents on the roads in this Eid.According to the report, a total of 331 people died in 323 accidents on the road, rail and waterway.Two people were killed in two accidents on the railways and six people were killed and 100 were injured in three accidents on the waterway.The government managed to keep the Covid-19 deaths limited to 514 people during this time by spending a lot of money and enforcing lockdown. But a large number of people died in road accidents in the meantime. No measures were taken and there was no allocation of money for the prevention of these accidents, the report added.The report shows that, as usual, motorcycle accidents are at the top of the list of accidents. 139 people were killed and 199 were injured in 144 motorcycle accidents this Eid which is 45.28 percent of the total road accidents, 43.03 percent of the fatalities and 31.99 percent of the injured.According to the information provided by Jatri Kalyan Samity, this is the highest number of deaths in road accidents during the Eid in last six years. According to the estimates given by the organization, 121 people died in 2016, 205 in 2017, 277 in 2018, 232 in 2019 and 149 died in 2020.The report was prepared on the basis of news published in the media. The organisation made a few recommendations to decrease accidents across the country."
2,468 people die in road accidents in April,"Six people were killed in eight railway accidents and 38 people were killed in 14 water-way accidents where nine people were injured and two went missing.According to the  statistics, the highest number of accidents occurred in 221 mishaps involving trucks and covered vans, 144 accidents occurred by motorcycles, 55 accidents by battery-run rickshaws and easy bikes, 64 by Nasimon and Karimon, 52 by CNG-run auto-rickshaws, 30 accidents occurred by private cars and 20 accidents occurred by buses.The highest number of road accidents occurred in last month. A total of 26 people were killed and 33 injured in 26 road accidents on April 8, 2021.The lowest number of road accidents was recorded on 14 April. Ten people were killed and six were injured in these accidents.In the monitoring report of the Road Accident Monitoring Cell of Bangladesh Jatri Kalyan Samity disclosed the information.Analysing the report published in the country’s newspapers, the organization published this report in a press release sent to the media outlets."
3,5 killed in Sylhet road accident," The deceased were identified as Sadia Begum, 35, wife of Jamal Ahmed of Rupcheng (Pakhibeel) village at Jaintiapur upazila, her four-month old baby Sahadat Hossan, daughter Sabiha Begum, 7, her sister-in-law Habibunnesa, 33; and the autorickshaw driver Hossain Ahmed, 35, son of Arab Ali of Pakhibeel village at the upazila. The injured- Mohammad Zakaria, 50, brother-in-law of Sadia and his wife Hasina Begum, 40, were taken to Sylhet MAG Osmani Medical College Hospital. Dastagir Ahmed, officer-in-charge of Jaintiapur Police Station, confirmed the matter. He said that the bodies were recovered and sent to the hospital for autopsy. Police and eyewitnesses said that the accident took place when the Jaflong-bound stone-laden truck hit the CNG-run auto-rickshaw, leaving the five people dead on the spot and two others injured. The victims were going to take part in the funeral of one of their relatives at Bhaitgram village at the upazila, said local journalist Foyez Ahmed."
4,Road accident kills 3 in Mymensingh,"Three persons including the driver of a CNG-run auto-rickshaw were killed and another was injured in a road accident in Khicha area on the Mymensingh-Netrakona highway under Tarakanda upazila of in Mymensingh on Wednesday morning.The deceased were identified as Shahid Mia, 33, driver of the CNG-run auto-rickshaw, Khalil Mia, 32, and Masum Mia, 36, hailing from Durgapur upazila of Netrakona.Officer-in-Charge (OC) of Tarakanda Police Station Md Abul Khayer said the accident occurred when a Mymensingh-bound CNG-run auto-rickshaw collided head-on with a truck coming from the opposite direction in the area around 10 am, leaving Shahid Mia dead on the spot and injuring three other passengers of the vehicle.The injured were rushed to Mymensingh Medical College Hospital (MMCH) where on-duty doctors declared Khalil Mia and Masum Mia dead.Besides, another critically injured passenger, Aminul Islam, 22, is undergoing treatment at the MMCH.Police seized both the vehicles but driver of the truck managed to flee the scene.Being informed, police recovered the bodies and sent those to MMCH morgue for autopsy.A case was filed with Tarakanda Police Station in this connection."
5,Road accident kills motorcyclist in Rangpur,"“The accident occurred when a pickup van hit the running motorcycle from behind at the point killing the motorcyclist on the spot,” Officer-in-Charge (OC) of Taraganj Highway police station Nurunnabi Prodhan told tonight. The deceased was identified as Khairul Islam, 45, son of late Abdul Mazid of village Madhbati in Biral upazila of Dinajpur district."
6,Noble critically injured in road accident,"However, the location and vehicle of the accident could not be confirmed. It is believed that it was a bike accident in Dhaka. The artiste said this by sharing a selfie photo on his Facebook on Thursday night.The picture shows that Noble wearing a patient gown and one eye was completely bandaged with a bundle of money in a hand. Noble wrote in his posted Facebook status that an elder was crossing the road inadvertently. “To save him, I had 12 stitches on the palm of my head, 18 on the left eyebrow, and a total of 30 stitches.”“Still, I feel satisfied because the man is safe. And I am fine with your prayers, Alhamdulillah,” he added.However, no direct comment has been received about the accident from the controversial Nobel laureate. Even many close people in the recent past have said, 'I don't know'!"
7,"513 die, 598 injured of road accidents in March","Among the dead, 78 were women and 63 children.The number of accidents involving motorcycles was the highest, according to a report published by the Road Safety Foundation (RSF), a non-government organisation.In the month, 19 more people were killed and six injured in 15 railways accidents while two were killed and eight more injured in two waterways accidents, said the report on Monday.According to the report, a total of 147 people died in 138 motorcycle accidents, which accounted for 28.65 percent of the total deaths. Some 136 pedestrians and 82 drivers and helpers were killed in accidents during this period.The highest number of accidents occurred in Dhaka division with the number of deaths also being the highest. A total of 136 people died in 119 accidents in Dhaka division alone during the last month, the report showed.The lowest number of road crashes and fatalities were reported in Rangpur division - 20 occurrences and 18 deaths.The report also said that 26.51 per cent of fatal road accident victims were pedestrians and around 15.98 per cent were transport workers.It also showed that 42 per cent of accidents took place on national highways followed by 28 per cent on regional highways, 17.84 per cent on rural roads and 8.8 per cent on urban roads.Some 668 vehicles were responsible for the road accidents that took place in March.It attributed the road crashes to unfit vehicles, rash driving, lack of skill, mental and physical sickness, inadequate benefits for drivers, slow movement of vehicles on the highways, reckless bike ride by youths, improper traffic management system, and lack of awareness about traffic laws.The organisation also placed 10 recommendations to reduce accidents across the country. RSF recommended increasing skilled drivers, strengthening the capability of the Bangladesh Road Transport Authority (BRTA) and enforcement of the existing laws to check road accidents in the country.The report was prepared based on news reports published in seven national daily newspapers, five online news portals and television channels.Earlier in February, some 517 people were killed in 406 accidents."
8,8 killed in Faridpur road accidents,"At Madhukhali upazila, six people, including a woman and a child, were killed when a truck hit a microbus on Dhaka-Khulna highway in Majhkandi area of the upazila. Sub-Inspector (SI) of Karimpur Highway Police Md Kausar confirmed the matter. According to police and locals, the accident took place at about 8:00 am when the truck coming from Jhenaidah hit the Dhaka-bound microbus coming from Magura, leaving six people dead and several other injured. The injured were taken to Faridpur Medical College Hospital. Four of the injured are in serious condition. Police seized the truck, but the truck driver managed to flee the scene.At Bhanga upazila, two students were killed when a microbus hit a motorbike at Bishwa Road in the early hours of Sunday. Another bike rider was injured in the accident. One of the deceased was identified as Sakil Khan, 22, son of Shafiqul Khan. He was a BBA fourth year student of Govt Titumir College in Dhaka. Bhanga Highway Police said that Sakil along with his two friends was going to Bhanga from Shibchar upazila in the early hours. When their bike reached Bishwa Road area, the microbus hit the motorbike, leaving two students dead on the spot. The injured was taken to Faridpur Medical College Hospital. "
9,2 musicians killed in Ctg road accident,"The deceased were identified as Partha Guha, 50, and Hanif Ahammed, 41.In-charge of Joraganj highway police Mohammad Firoz Hossain confirmed the matter. He said that a Dhaka-bound lorry collided with the Chittagong-bound microbus that was carrying a group of musicians around 5:30am. They were going to join a show in Cox's Bazar.The lorry from opposite side hit their microbus, leaving Partho dead on the spot and six injured, he said.They injured were taken to Chattogram Medical College Hospital where the on-duty doctor declared Hanif dead."
