,Unnamed: 0,newspaper_name,date_of_incident,time_of_incident,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,driver_age,links,description_text,published_time,full_text
0,0,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/3-killed-in-satkhira-road-crash/74708,3 killed in Satkhira road crash,"June 30, 2021","Three youths were killed in an accident on the Satkhira-Kaliganj road at Parulia area of Debhata upazila.The incident occurred at around 10 pm on Tuesday.The deceased were identified as Mamun Hossain, 17, son of Jahangir Hossain of Alipur union, Ashraful Islam, 25, son of Taslima Khatun and Sajib, 19, son of Mofizul Islam of the same union.Debhata Police Station OC Biplob Kumar Saha said the three youths were on their way to Satkhira on a motorcycle. Their motorcycle hit an electricity pole while giving passage to a freight truck near the Parulia High School area.Three of them died on the spot, the OC said.Their bodies were recovered and sent to Satkhira Sadar Hospital morgue."
1,1,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/son-gets-married-after-fathers-burial-in-chandpur/74188,Son gets married after father's burial in Chandpur,"June 21, 2021","A person on Friday was killed in a road crash in Chandpur’s Matlab Dakkhin upazila, on the day of his son’s marriage.The deceased was identified as Abul Bakaul, 65, of Uttor Nagda village of the upazila.After Jummah, Abul went to buy sweets for his son’s wedding when in Dagarpur area a three wheeler collided head-on with the battery powered auto-bike carrying him.He was rushed to the Chandpur General Hospital by his son and locals where he died in the afternoon.Later that evening after the funeral of his father Rubel Bakaul got married.By Saturday it became a matter of common gossip in the village.Neighbor Jilani Talukder said that the limited scale wedding ceremony took place on the decision of both families.Matlab Dakkhin Police Station Officer-in-charge Mohammad Mohiuddin Mia said no one from the family had informed the police and there was no complaint.However, police were sent to the spot, on information, he said"
2,2,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/narsingdi-road-crash-leaves-five-dead/74149,Narsingdi road crash leaves five dead,"June 20, 2021","At least five people were killed and nine others injured when a truck hit a microbus on Panchdona-Ghorashal road at Bhatpara Sakurar intersection in Madhabdi upazila of Narsingdi district on Saturday night.The deceased were identified as Mukti Akhter, 30, Sadiqul, 8, son of Mukti, Ruby Akhter, 40, Rahima, 3, daughter of Ruby and Rokeya Akhter, 52.Enamul Haque Sagar, superintendent of Narsingdi Police, said the accident occurred around 12 am when the truck rammed the Savar-bound microbus carrying 14 people, leaving two dead on the spot and 12 others injured.Three of the injured died while being moved to hospitals.The rest of the injured were taken to Dhaka Medical College and Hospital (DMCH).They met the accident while returning to Jirabo in Savar from Sylhet shrine, said police.Police seized the truck but could not arrest its driver as he fled the scene after the accident.Road accident in BangladeshRoad accidents are common in Bangladesh and have been a major cause of deaths.During the last Eid-ul-Fitr holiday rush, road accidents claimed 323 lives in just 15 days, said Bangladesh Jatri Kalyan Shamiti, a human rights body.Besides, 513 people, including 63 children, were killed and 598 injured in 409 road accidents across the country in March, said another rights body, Road Safety Foundation, on April 5.It said 147 lives were lost in 138 motorcycle accidents, which is 28.65% of the total deaths.In a report released in February 2020, the World Bank pointed out that Bangladesh needs to invest an estimated $7.8 billion over the next decade to halve its road crash fatalities.The report attributed the high death rate on Bangladesh’s roads to lack of investments in systemic, targeted, and sustained road safety programmes."
3,3,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/3-killed-in-bogura-road-crash/74093,3 killed in Bogura road crash,"June 19, 2021","A couple and their new born granddaughter were killed and three others injured when a bus collided head-on with a CNG-run auto-rickshaw in the district on Saturday.The deceased were identified as Ashraf Ali, 50, his wife Parul Khatun, 45, and their one-and-half-months old granddaughter Rezwan.The accident occurred at Hathibanddha of Shibganj Upazila around 9 am when the Rangpur-bound bus of ‘Ahsan Paribahan’ from Dhaka had a head-on collision with the Bagura-bound auto-rickshaw.The three were killed on the spot, said sub-inspector of Shibganj Police Station Mizan.The three injured were taken to Shaheed Ziaur Rahman Medical College and Hospital, he said.Fatal road accidents are common in Bangladesh.Road accidents during last Eid-ul-Fitr holiday rush claimed 323 lives in just 15 days, said Bangladesh Jatri Kalyan Shamiti."
4,4,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/7-killed-22-injured-in-three-road-accidents-in-chattogram-rangamati/74069,"7 killed, 22 injured in three road accidents in Chattogram, Rangamati","June 18, 2021","At least seven people, including women and children, have been killed in three separate road accidents in Chattogram and Rangamati on Friday. About 22 more people were injured in these accidents.The accidents occurred in EPZ Steel Mills Bazar and Shikalbaha area of Karnafuli police station on Friday.According to police, three people, including a woman and a child, were killed when a bus overturned at Steel Mills Bazar area under EPZ police station around 12 pm.Two of the deceased were Nur Begum, 43, and her niece, 11, who were killed on spot. Another died on the way to the hospital after being rescued by the police.Witnesses said a speeding bus hit a rickshaw at Sailo Road and crushed the pedestrians, losing its control while escaping at Friday noon. EPZ police officer-in-charge Utpal Barua said the mob detained the driver and helper of the bus and handed them over to the police. The bus was also seized.Meanwhile, three people were killed and at least 20 others injured in a head-on collision between two buses at Shikalbaha Chaumuhoni area of Karnafuli upazila. However, the identities of the injured were not immediately known.Police TI Anwar Azim said two buses collided while overtaking a CNG, injuring several passengers of the two buses. Two of them died.All the injured have been sent to Chittagong Medical College Hospital.SI Zahirul Islam, in-charge of CMCH police outpost, said at least 22 to 25 people were rushed to the hospital. They are undergoing treatment in different wards.In Rangamati, a ninth-grader schoolgirl was killed in a head-on collision between a motorbike and a Jeep at Bangalhaliya's Shafipur area of Rajasthali-Chandraghona highway on Friday morning.The deceased was identified as Opruiching Marma, 18, daughter of Mongbaching Marma of Farua union in Bilachhari upazila. She is a ninth-grader student of Chitmaram High School.Two people including a motorcyclist were injured in the accident.Md Iqbal Bahar Chowdhury, Officer-in-charge (OC) of Chandraghona Police Station, said legal action is being taken in this case. Police are searching for the jeep."
5,5,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/4-killed-in-cumilla-road-crash/74068,4 killed in Cumilla road crash,"June 18, 2021","Four people were killed in two separate road crashes in Cumilla.Three passengers of a private car were killed and another injured when a bus hit the car on the Dhaka-Chattogram highway in Comilla's Sadar Dakshin upazila's Suagazi area.The deceased were identified as Fakhrul Alam Dulal, 52, of Hamandi area of Laxmiipur Sadar, Miraj Hossain (18) son Mubarak Hossain of capital’s Khilgaon Taltola and private car driver Belal Hossain (35), son of Abdul Majid of Nalitabari upazila of Sherpur.Officer-in-charge of Mainamati Highway Police Station Anisur Rahman said the private car was on its way to Chattogram. It was hit by a Dhaka-bound Shyamoli Paribahan while it was taking a U-turn in front of Hotel Kanan in Suagazi area around 3 am on Thursday. Two passengers died on the spot and the driver died on the way to Dhaka for treatment, he added.The other incident occurred at Dighirpara of Harisardar Bazar in Cumilla's Chauddagram upazila on Friday morning when a three wheeler was hit by a lorry. A school girl killed and three others were injured in it. The deceased was identified as Lamia Akhter (8), daughter of Khalilur Rahman of Natapara area under Akter upazila and a second grade student at Natapara Government Primary School.Bechu Mia, the autorickshaw driver said Lamia was hurt on the head as the lorry hit the autorickshaw.She was rushed to Comilla Medical College from where she was referred to Dhaka Medical College Hospital (DMCH) as her condition deteriorated.She died on the way to DMCH, Bechu Mia futher said."
6,6,,,,,,,,,,,https://unb.com.bd/category/World/17-killed-in-india-road-crash/73274,17 killed in India road crash,"June 09, 2021",
7,7,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/report-323-lives-lost-on-the-road-during-eid-holiday-rush/70597,Report: 323 lives lost on the road during Eid holiday rush,"May 23, 2021","Road accidents during this Eid-ul-Fitr holiday rush claimed 323 lives in just 15 days, even though long-haul buses were off the road due to Covid-19 lockdown, said Bangladesh Jatri Kalyan Shamiti on Sunday.At least 318 road crashes occurred during May 7- 21 period, the passenger welfare forum revealed while presenting its road accident report-2021 at a press briefing here.The report also said 622 people were injured in road accidents during the period when lakhs of people hit the road to celebrate the Eid festival with their families in village homes.The Eid was celebrated on May 14 during the Covid-19 lockdown.The number of road crashes usually increase as people’s movement surges during such festival. According to the report, the number of both deaths and accidents on the road increased this year.Due to lockdown, public transports remained suspended, but the holidaymakers packed private cars, microbuses, motorcycles, auto rickshaws, trucks, pick-up vans and covered vans.The report also stated that among the deceased, 35 were women, 22 children, 69 pedestrians and 31 transport workers, and 96 drivers. According to the report, like other years accidents on motorcycles were at top recording 139 deaths in 144 accidents this year.This accounts for 45.28% of the total accidents and 43.03 % of the total deaths recorded.About 32.28 percent accidents took place in national highways, 40.88 percent in regional highways, 22.32 percent in feeder roads, the report stated analyzing the types of accidents.Members of the road accidents monitoring cell of the forum prepared the report collecting information from widely published and trustworthy national, regional, daily newspapers and online portals in the 15 days.Of the total accidents 3.14% occurred in Dhaka and 1.25% in Chattogram.The report also mentioned 331 people died and 772 sustained injuries in 322 accidents occurring jointly on the country's road, rail and waterways.“Movement of only 8 to10 percent of the population caused so many accidents and deaths only due to negligence of the concerned authority and organizations liable for road safety,” said Mozammel Haque Chowdhury, general secretary of the Jatri Kalyan Samity.He strongly demanded that the government prioritizes the road safety and take necessary measures.Public transport expert and director of FBCCI, Abdul Haque said, “transport owners face graft and suffer a lot when they go to Bangladesh Road Transport Authority (BRTA) for fitness tests or other services”.Thus lead to an increase in the movement of unfit vehicles, he said"
8,8,,,,,,,,,,,https://unb.com.bd/category/Bangladesh/youth-killed-in-sylhet-road-accident/70231,Youth killed in Sylhet road accident,"May 21, 2021","A youth returning home with the body of his cousin was crushed to death allegedly by a speeding truck at Hazrai in South Surma upazila of Sylhet on Thursday evening.The deceased was identified as Bayazid Ahmed, son of Sonu Mia of Purangaon in Kamalbazar of the upazila. He was a member of Juba League.The accident occurred in the evening when Bayezid was returning home with the body of his cousin who died at Ragib Rabeya Medical College Hospital in Sylhet.""While few family members were returning home with the body in an ambulance, Bayazid was following them on his bike. He died after his bike was hit by the truck on a small lane next to Highway Road at Hazrai and he came under its wheels,"" an official said.Eye-witnesses said the truck was carrying goods from the local depot of Lafarge Cement. Locals also detained the driver and handed him over to the South Surma police.Monirul Islam, officer-in-charge of South Surma Police Station, said they had arrested the driver and seized the truck. ""Legal action is being taken in this regard,"" the OC added."
9,9,,,,,,,,,,,https://unb.com.bd/category/Special/249-lives-lost-on-the-road-during-eid-holidays/69741,249 lives lost on the road during Eid holidays,"May 18, 2021","The number of deaths in road crashes during the Eid holiday rush increased during the just concluded Eid ul Fitr, despite a ban on inter-district bus operations due to the Covid-19 pandemic, two civic bodies said Tuesday.At least 249 people were killed and 385 others were injured in 207 road crashes over the 12 days till Monday, as people rushed to travel home and come back to Dhaka, according to a report jointly prepared by Green Club of Bangladesh (GCB) and National Committee to Protect Shipping, Roads and Railways.The report covers the period between May 6 and May 17.The report also stated that among the deceased, 35 were women, 29 children, 23 pedestrians and 27 transport workers, including drivers. Both accidents and deaths increased during this Eid-ul Fitr's holidays from the last Eid-ul Azha, the report observed.Some 187 accidents happened where 229 people were killed and 318 others injured in the last Eid-ul Azha.The GCB and NCPSRR jointly prepared the statistics by collecting reports of fifteen national and regional daily newspapers and eight online news portals and news agencies.The report also said that several types of 329 small vehicles, including bus, were responsible for the road accidents. Of the total death, 107 people lost lives in 98 motor-bike accidents.About 33.5 percent accidents took place on highways, 36 percent internal road networks, 18.5 percent in rural and 12 percent on urban roads, the release said.According to the report, due to restriction on inter-district bus services, including passenger’s carrier inland water vessels and train, a greater number of cars and small vehicles operated on the roads. So, the number of accidents and fatalities involving small vehicles, including private cars have increased.Ashis Kumar Dey, general secretary of the NCPSRR, told UNB that improper traffic management system, lack of awareness about traffic laws, rash driving, unfit vehicles, inadequate benefits for drivers and reckless bike riding by youths were mainly responsible for the accidents.He suggested increasing the skilled drivers, strengthening the capability of Bangladesh Road Transport Authority (BRTA) and enforcement of the existing laws to check road accidents in the country."
