,Newspaper Name,Accident date,Header,News title,Deaths,Injured
0,Dhaka Tribune,Jun 26 2021,Two labourers killed in Dhaka road accident,2 killed in Dhaka road crash,2,2
1,Dhaka Tribune,Jun 23 2021,Three killed in Muktagacha road accident,Three killed in Muktagacha road...,3,0
2,Dhaka Tribune,Jun 19 2021,Truck-pickup van collision leaves 3 dead in Narsingdi,Truck-pickup van collision leaves 3...,3,0
3,Dhaka Tribune,Jun 19 2021,"Couple, infant grandson killed in Bogra bus-auto-rickshaw collision",Bogra road crash kills 3,3,0
4,Dhaka Tribune,Jun 19 2021,Policeman killed in Dhaka road accident,Cop killed in Dhaka road crash,1,0
5,Dhaka Tribune,Jun 18 2021,3 killed in bus-car collision in Comilla,3 killed in bus-car collision in...,3,0
6,Dhaka Tribune,Jun 16 2021,"6 die in road accidents in Dhaka, Gazipur","6 die in road accidents in Dhaka,...",6,0
7,Dhaka Tribune,Jun 13 2021,Road accidents claim 5 lives in 3 districts,Road accidents claim 5 lives in 3...,5,0
8,Dhaka Tribune,Jun 13 2021,Bus-tractor collision kills 2 on Bangabandhu Bridge,2 killed in bus-tractor collision,2,0
9,Dhaka Tribune,Jun 13 2021,"1 killed, 5 injured in Banani road crash","1 killed, 5 injured in Banani road...",1,0
10,Dhaka Tribune,Jun 5 2021,Two motorcyclists killed in Naogaon road accident,Two motorcyclists killed in Naogaon...,2,0
11,Dhaka Tribune,Jun 3 2021,Road accidents claim 9 lives across Bangladesh,Road accidents claim 9 lives,9,0
12,Dhaka Tribune,May 28 2021,Three killed in Bhola road accident,Three killed in Bhola road,3,0
13,Dhaka Tribune,May 22 2021,One killed in Tangail road crash,One killed in Tangail road crash,1,0
14,Dhaka Tribune,May 21 2021,Road accidents kill 4 in 3 districts,Road accidents kill 4 in 3...,4,0
15,Dhaka Tribune,May 21 2021,"Driver, assistant killed in pickup van-microbus collision in Brahmanbaria",2 killed in Brahmanbaria road,2,0
16,Dhaka Tribune,May 21 2021,Youth killed in road crash while escorting cousin's body back home,Youth killed in Sylhet road...,1,0
17,Dhaka Tribune,May 21 2021,"Truck driver injured, assistant killed in Rajshahi road crash","Truck driver injured, assistant killed...",1,0
18,Dhaka Tribune,May 20 2021,3 killed in Brahmanbaria road crash,3 killed in Brahmanbaria road,3,0
19,Dhaka Tribune,May 19 2021,15 killed in road accidents across Bangladesh,15 killed in road accidents across...,15,0
20,Dhaka Tribune,May 17 2021,"Mother killed, son injured in Gulshan road accident","Mother killed, son injured in Gulshan...",1,0
21,Dhaka Tribune,May 17 2021,OP-ED: A case for 30kmh,OP-ED: A case for 30kmh,0,0
22,Dhaka Tribune,May 15 2021,"4 killed in road accidents in Tangail, Chapainawabganj",4 dead in road accidents,4,0
23,Dhaka Tribune,May 15 2021,Premium Sweets owner among 3 dead in Canada road crash,3 Bangladeshis killed in Canada road...,3,0
24,Dhaka Tribune,May 12 2021,Road crashes kill 10 across Bangladesh,Road crashes kill 10 across...,10,0
25,Dhaka Tribune,May 10 2021,3 killed in Chittagong road accident,3 killed in Chittagong road...,3,0
26,Dhaka Tribune,May 8 2021,"4 killed in road accidents in Rajshahi, Natore","4 killed in road accidents in Rajshahi,...",4,0
27,Dhaka Tribune,May 6 2021,4 killed in road accidents across Bangladesh,4 killed in road accidents across...,4,0
28,Dhaka Tribune,May 3 2021,Road accident kills three in Sylhet,Road accident kills three in,3,0
29,Dhaka Tribune,May 2 2021,Policewoman on bike killed in road accident,Policewoman on bike killed in road...,1,0
30,Dhaka Tribune,May 1 2021,Road crashes kill 8 in 6 districts,Road crashes kill 8 in 6 districts,8,0
31,Dhaka Tribune,May 1 2021,Road crashes kill 2 in Dhaka,Road crashes kill 2 in Dhaka,2,0
32,Dhaka Tribune,Apr 29 2021,Road crash kills man out to buy medicine,Road crash kills man out to buy...,1,0
33,Dhaka Tribune,Apr 20 2021,3 killed in Comilla road accident,3 killed in Comilla road accident,3,0
34,Dhaka Tribune,Apr 19 2021,3 Bangladeshis die in Oman road accident,3 Bangladeshis die in Oman road...,3,0
35,Dhaka Tribune,Apr 14 2021,22 killed in road accident in Egypt,22 killed in road accident in,22,0
36,Dhaka Tribune,Apr 13 2021,3 including child killed in Comilla road accident,3 killed in Comilla road accident,3,0
38,Dhaka Tribune,Apr 7 2021,"4 killed in road accident in Dhaka, Rajshahi","4 killed in road accident in Dhaka,...",4,0
39,Dhaka Tribune,Apr 5 2021,21 cops injured in Brahmanbaria road accident,21 cops injured in Brahmanbaria road...,0,0
40,Dhaka Tribune,Mar 31 2021,3 die in Sylhet road accident,3 die in Sylhet road accident,3,0
41,Dhaka Tribune,Mar 31 2021,4 killed in Chittagong road crash,4 killed in Chittagong road crash,4,0
42,Dhaka Tribune,Mar 30 2021,Dhaka-Khulna Highway turns into death trap,Dhaka-Khulna Highway turns into death...,,0
43,Dhaka Tribune,Mar 28 2021,"8 killed, 3 injured in road accidents","8 killed, 3 injured in road...",8,0
44,Dhaka Tribune,Mar 26 2021,Bus-microbus collision leaves 17 dead in Rajshahi,Bus-microbus collision leaves 17 dead...,17,0
45,Dhaka Tribune,Mar 26 2021,1 killed in Narsingdi road accident,1 killed in Narsingdi road,1,0
