headline,summary,time_0f_incident
UP member killed in Jhenaidah road accident,"A union parishad member was killed and another person injured after a truck hit a motorcycle in Maheshpur upazila ofJhenaidah on Sunday morning.The deceased was identified as Lutfur Rahman, 55, son of Niyat Ali, hailing from Alampur village of the upazila.Later, locals took the injured to Maheshpur Upazila Health Complex, he said.","10th May, 2020 12:15:16 PM"
"Husband, wife killed in Meherpur road accident","An elderly man and his wife were killed and five others injured in a road accident on Amjupi-Garadove highway in Meherpur Sadar upazila on Tuesday morning.The deceased were identified as Abdus Sattar, 65, hails from Komorpur village of Mujibnagar upazila and his wife Sara Khatun, 60.Sara Khatun died on the spot when the driver of the microbus carrying them lost control over the steering and fell into nearby ditch, said Microbus driver Redwan Ahmed who also is injured in the accident.Critically injured in the accident Abdus Sattar died on the way to Meherpur General Hospital.Police recovered the bodies and sent those to Meherpur General Hospital morgue.","4th May, 2021 01:46:04 PM"
2 sisters killed in Chattogram road accident,"Two sisters were killed and another was injured in a road accident in Fatikchhari upazila of Chattogram on Tuesday night.The deceased were identified as Doly Akter, 40, wife of Nanna Mia, 50, hailing from ABC area in Nazirhat municipality and her youngest sister Layla Begum, 35, wife of Anwar, from Kumbarpara area in the same municipality.Later, locals took the injured to Fatichhari Upazila Health Complex where duty doctor declared Doly dead. Two others were sent to Chattogram Medical College and Hospital (CMCH) where doctor also declared Layla dead.Mohammad Mokter Hossain, in-charge of Nazirhat Highway police outpost, confirmed the matter. ","26th May, 2021 11:35:14 AM"
Boy killed in Ctg road accident,"CHATTOGRAM: A teenage boy was killed in a road accident in the city’s Steel Mill area on Saturday. The deceased was identified as Md Manik, 14, son of Md Nasir of Chowdhury Para in Bandar area. Manik was rushed to Chattogram Medical College Hospital where doctors pronounced him dead, said ASI Alauddin Talukder of the hospital police outpost. ","17 January, 2021 12:00 AM"
Man killed in Ctg road accident,"CHATTOGRAM: An auto-rickshaw passenger was killed and two others were injured in a road accident at Patiya upazila in the district on Wednesday.The deceased was identified as Ayub Uddin, 35, while the injured were Nasir Uddin, 35, and Mita, 35, of the upazila in the district.The accident left the trio injured critically, he said. The injured were sent to Patiya Upazila Health Complex where on-duty doctors declared Ayub dead, said the sergeant.The injured were shifted to Chattogram Medical College Hospital after providing primary treatment, he added.","27 May, 2021 12:00 AM"
Man killed in Ctg road accident,"CHATTOGRAM: A man was killed while a CNG-run auto-rickshaw overturned in Surja Gate at Raozan upazila in the district on Friday.The deceased was identified as Nurul Alam Chowdhury, 58, of Kodolpur area under the upazila.Later, he was rushed to Chattogram Medical College Hospital where doctors declared him dead, said ASI Shilabrata Barua of the hospital police outpost.Meanwhile, a motorcyclist was killed in a road accident at Paglapeer Debipur point on the Rangpur-Dinajpur highway under Sadar upazila in Rangpur on Friday, reports BSS.The deceased was identified as Khairul Islam, 45.“The accident occurred when a pickup van hit the running motorcycle from behind at the point killing the motorcyclist on the spot,” Officer-in-Charge (OC) of Taraganj Highway Police Station Nurunnabi Prodhan told on Friday night.","24 April, 2021 12:00 AM"
Human hauler driver killed in road accident,"CHATTOGRAM: A human hauler driver was killed in a road accident at Sitakunda upazila in the district on Monday. Identity of the deceased couldn’t be known immediately.The injured was rushed to Chattogram Medical College Hospital where on-duty physicians declared him dead, said ASI Shilabrata Barua of the hospital police outpost.","25 May, 2021 12:00 AM"
Youth killed in Ctg road accident,"CHATTOGRAM: A youth was killed in a road accident at Mirsarai upazila in the district on Friday.The deceased was identified as Dishan Uddin, 19, of Gopalaganj Sadar upazila.The accident left him injured critically.He was rushed to Chattogram Medical College Hospital where on-duty doctors declared him dead, said ASI Shilabrata Barua of the hospital police outpost.Meanwhile, two people were killed in a head-on collision between a truck and a bus at Satihat Panchamitala in Manda Upazila of Naogaon on Thursday afternoon, police said.The deceased were identified as truck driver Masud Rana, 28, from Rajshahi and helper Omar Russel, 20, from Noakhalli.","26 June, 2021 12:00 AM"
"Mother killed, son injured in road accident","CHATTOGRAM: A woman was killed and her son was injured in a road accident at Banshkhali upazila in the district on Friday.The deceased was identified as Sohag Begum, 31, while the injured was her son Al Amin, 11, of Maheshkhai upazila in Cox’s Bazar.In Charge (IC) Rakibul Islam of Ramdash Munshir Hat police investigation centre said a sand-landed truck collided head-on with a CNG-run auto-rickshaw carrying the duo in Banigram Bazar Jainyar Tek area under the upazila at around 12:00pm.The accident left Sohag dead on the spot and injured her son critically, he said.The injured was rushed to Chattogram Medical College Hospital, said the IC.Police arrested driver and seized the truck, he said adding that filing of a case in this connection was under process. ","5 June, 2021 12:00 AM"
Minor boy killed in Ctg road accident,"CHATTOGRAM: A minor boy was killed and his grandmother was injured in a road accident in Kaptai Rastar Matha area in the city on Friday.The deceased was identified as Md Jihatur Islam, 7, while the injured was Laila Begum, 60, of Rangunia upazila in the district.The accident left the duo seriously injured.They were rushed to Chattogram Medical College Hospital where doctors declared Jihatur dead, said ASI Shilabrata Barua of the hospital police outpost.Injured Laila was undergoing treatment at the hospital, he added.","1 May, 2021 12:00 AM"
Road accident kills 3 Bangladeshis in Oman,"Three Bangladeshi citizens were killed after a car carrying them skidded off in Oman on Sunday morning.The deceased were identified as Md Jahed, 42, Absar, 45 and Salahuddin, all of them hailing from different villages under Rangunia upazila of Chattogram.Mohammad Rezaul Karim, the Bangladeshi owner of the company, confirmed the matter.Rezaul Karim said a private car carrying the victims skidded off the road after its driver lost control of the vehicle at Tamrit area in the morning while they were returning to Muscat after finishing their works from Salalah city, 1,000 kilometres away from Muscat, leaving the trio dead on the spot.","
19th April, 2021 11:54:48 AM




"
Madrasa student killed in Sirajganj road accident,"A madrasa student was killed in road crash at Dhaper bridge area of Bhuiyagati regional road in Tarash upazila of Sirajganj on Wednesday noon.The deceased was identified as Shariyar Hossain, 15, son of Shafikul Islam, hailing from Madhainagar union of Uttor Mathurapur village of the upazila.Confirming the news, Moyazzem Hossain, Officer-in Charge (OC) of Tarash Police Station, said police have recovered the body from the spot.","24th September, 2020 03:33:45 PM"
Three killed in Ctg road accident,"CHATTOGRAM: At least three people were killed and four others injured in a road accident at Lohagara upazila in the district on Sunday.The deceased were identified as Shah Alam, 41, Md Ayas, 40, and Md Jahangir, 30, of Ukhiya upazila in Cox's Bazar.The accident left Shah Alam dead on the spot and six others injured. The injured were sent to a local hospital where Ayas and Jahangir succumbed to their injuries, he said. The rest of the injured were undergoing treatment in hospitals in Chakaria and Cox's Bazar, the OC added. ","28th March, 2021 10:47:33 PM"
Motorcyclist killed in city road accident,"A man was killed after an unidentified speedy vehicle hit his motorcycle in Paschim Rampura area of the capital on Wednesday morning.The deceased was identified as Anwar Hossain, 36.Later, the injured was first taken to a local hospital but doctor of the hospital referred him to Dhaka Medical College and Hospital (DMCH) where duty doctor declared Anwar dead.Inspector Bachchu Mia, in-charge of DMCH police outpost, said the body was kept at the hospital morgue for an autopsy. ","26th May, 2021 12:36:55 PM"
Two killed in Habiganj road accident,"HABIGANJ: Two youths were killed in a head-on collision between a motorcycle and a CNG-run auto rickshaw in Natun Bazar area on Habiganj-Srimangal road in Bahubal upazila of the district on Saturday.The deceased were identified as Jamir Uddin, 40, and his cousin Shakil Ahmed Ramim, 35, of Tabajkhani village under Baniachang upazila of the district. According to local sources, the accident occurred in the area when the victims going to Srimangal by a motorbike collided head-on with a CNG-run auto rickshaw coming from the opposite direction at around 11am, leaving them injured seriously. ","29th May, 2021 11:23:28 PM"
Man killed in Dhanmondi road accident,"A man, who sustained injury in a road accident in front of KB Hospital at City’s Dhanmondi area on Sunday night, succumbed to his injury at Northan Hospital on Monday morning.The deceased was identified as Rahim, 44, hailing from Hazaribag.Later, locals took the injured to the hospital where doctors shifted him to Intensive Care Unit (ICU) as his condition deteriorated. However, Rahim succumbed to his injuries this morning while undergoing treatment, he said.Later, the body was sent to Dhaka Medical College Hospital (DMCH) morgue for an autopsy, the SI said.","8th June, 2020 12:54:33 PM"
Two killed in Barguna road accident,"Two people, including a chairman candidate of upcoming union parishad election, were killed and another was injured in a head-on collision between a truck and a private car in Amtali upazila of Barguna on Tuesday night.The incident took place around 10:00pm at Mahishkata bus stand area on Patuakhali-Kuakata road.The Patuakhali-bound car collided with the truck coming from the other direction, leaving two passengers of the car dead on the spot and one other severely injured, said Md Shah Alam, officer-in-charge of Amtali Police Station.The injured Anwarul was rushed to Amtali Upazila Health Complex and later shifted to Barishal Sher-e-Bangla Medical College Hospital for better treatment.On information, police recovered the bodies of the deceased and sent those to Barguna General Hospital for autopsies, the OC said.The driver and helper of the truck managed to flee from the scene after the accident, OC Shah Alam added.","17th March, 2021 11:40:14 AM"
