,Newspaper name,Date of Incident,Time of Incident,Incident type,Location,Deaths count,Injury count,Type of vehicle,Gender ,Links,Description text,Date of publishing,Full Text,Article Summary,Image links
1,The Daily Star,4/28/2021,4:53 PM,Collision,Tarakanda upazila of Mymensingh,3,1,Truck and a CNG run auto rickshaw,Male,https://www.thedailystar.net/bangladesh/news/3-killed-mymensingh-road-accident-2085249,3 killed in Mymensingh road accident,"04:53 PM, April 28, 2021 / LAST MODIFIED: 05:12 PM, April 28, 2021","Three people were killed and another was injured as a truck hit a CNG-run auto-rickshaw in Tarakanda upazila of Mymensingh this morning. The deceased was identified as Shahid Mia (33), the auto-rickshaw driver; Khalil Mia (32); and Masum Mia (36) from Durgapur upazila of Netrakona. Quoting locals, officer-in-charge of Tarakanda Police Station Md Abul Khayer said the accident happened at Khicha when the truck hit the Mymensingh-bound auto-rickshaw, leaving Shahid dead on the spot and three others injured around 10:00 am. The injured were rushed to Mymensingh Medical College Hospital (MMCH), where doctors declared Khalil and Masum dead. Another critically injured passenger -- Aminul Islam -- is undergoing treatment at MMCH. Police seized the truck and auto-rickshaw, but the truck driver managed to flee. A case was lodged. ",Three people were killed and another was injured as a truck hit a CNG-run auto-rickshaw in Tarakanda upazila of Mymensingh this morning.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/2021/04/28/accident_0.jpg?itok=lNKCRp7-&c=fbd851d5251cd72546ed6183ab0b9ce4
2,The Daily Star,3/8/2021,5:47 PM,Collision,Patuakhali-Kuakata road at Eusufpur area,1,,truck and motorcycle,Male,https://www.thedailystar.net/man-dies-after-truck-crashes-motorcycle-patuakhali-2057033,Man dies after truck crashes into motorcycle in Patuakhali,"05:47 PM, March 08, 2021 / LAST MODIFIED: 06:00 PM, March 08, 2021","A man was killed in a road accident this morning after a truck hit his motorbike from the opposite direction on the Patuakhali-Kuakata road at Eusufpur area. The deceased was identified as Rubel Hossain (32), son of Lal Miah of Panjupara village in Kuakata, our Patuakhali correspondent reports quoting officer-in-charge of Mohipur Police Station Md Moniruzzaman. Rubel died on the spot and his body was sent to Patuakhali General Hospital for an autopsy, said the OC. The truck driver managed to flee the scene. ""A case has been registered at Mohipur Police Station in this regard. We will take further steps after the autopsy report,"" said OC Moniruzzaman.   ",A man was killed in a road accident this morning after a truck hit his motorbike from the opposite direction on the Patuakhali-Kuakata road at Eusufpur area.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/accident_38.jpg?itok=V5Gvp6UW&c=12a5be1eb8621b63de82d68e81acc533
3,The Daily Star,12/6/2020,1:12 PM,Crash,Duaria in Lalpur upazila of Natore,3,,Motorcycle,Male,https://www.thedailystar.net/3-motorcyclists-killed-in-natore-road-accident-2006733,3 motorcyclists killed in Natore road accident,"01:12 PM, December 06, 2020 / LAST MODIFIED: 01:20 PM, December 06, 2020","Three men riding a motorcycle died early today at Duaria in Lalpur upazila of Natore. The deceased were identified as Foysal, Sajib and Sohan of Razapur area in Baraigram upazila. Selim Reza, officer-in-charge of Lalpur Police Station said the motorbike hit a roadside tree while it was trying to give space to a vehicle, leaving the three dead on the spot. Police recovered the bodies and sent them to local hospital morgue. ",Three men riding a motorcycle died early today at Duaria in Lalpur upazila of Natore.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/accident_38.jpg?itok=V5Gvp6UW&c=12a5be1eb8621b63de82d68e81acc533
4,The Daily Star,11/5/2020,12:00 AM,Collision,Narayanganj,4,1,motorcycle,Male,https://www.thedailystar.net/4-bangladeshi-expats-killed-1-injured-in-mauritius-road-accident-1989965,"4 Bangladeshi expats killed, 1 injured in Mauritius road accident ","09:04 PM, November 05, 2020 / LAST MODIFIED: 09:19 PM, November 05, 2020","Four Bangladeshi expatriates died and another one was critically injured after a bus carrying 52 Bangladeshis plunged into a roadside establishment in Mauritius today. The deceased have been identified as Abdur Razzaque, Sanjay Das, Rakib Molla, and Faruque Islam.  The critically injured expatriate was undergoing treatment in the intensive care unit of a hospital in Port Louis, said Ohidul Islam, labour welfare counsellor at the Bangladesh High Commission in Mauritius. The incident also left eight more Bangladeshis injured. They were undergoing treatment at different hospitals, he said. Several other Bangladeshis received primary treatment, he added. Ohidul said the incident took place around 7:30am (local time) near Port Louis when the bus carrying Bangladeshis from dormitories was heading to their workplaces. The driver lost control over the wheel and hit a roadside establishment, Ohidul told this newspaper over phone. The bodies have been kept under the responsibility of a local funeral service centre. Ohidul said the high commission was trying to send the dead bodies home in the next available cargo flight but regular cargo flights from Mauritius remain suspended at present. Local police is investigating the incident. According to the expatriates' welfare ministry, the deceased were employed as construction workers under a company in Mauritius. In a condolence message, Expatriates' Welfare Minister Imran Ahmad expressed his deep shock at the deaths of Bangladeshi expatriates ",None,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/accident_38.jpg?itok=V5Gvp6UW&c=12a5be1eb8621b63de82d68e81acc533
5,The Daily Star,9/21/2020,7:07 PM,,,1,,,,https://www.thedailystar.net/top-pib-official-dies-in-road-accident-in-jatrabari-1965045,Top PIB official dies in road accident in Jatrabari,"07:07 PM, September 21, 2020 / LAST MODIFIED: 07:29 PM, September 21, 2020","A top official of the Press Institute Bangladesh (PIB) was killed in a road accident in Dhaka's Jatrabari early today. The deceased was Md Ilias Bhuiyan, PIB director (administration) and joint secretary. The incident took place at Jatrabari's Kajla area around 12:00am when Ilias was returning home from Narayanganj on a motorcycle which he was riding pillion. The bike collided with a truck on the slope of the flyover there, leaving both him and the driver critically injured, said Yasir Arafat, younger brother of the deceased. They were rushed to Dhaka Medical College Hospital (DMCH) where doctor's declared Ilias dead. The motorcycle rider is now being treated at the hospital, Arafat added. Confirming the matter, Md Mazharul Islam, officer-in-charge of Jatrabari Police Station, told The Daily Star that law enforcers seized the truck and nabbed its driver after the accident. The body of the deceased has been handed over to family without autopsy being performed on their request, the OC added. ",A top official of the Press Institute Bangladesh (PIB) was killed in a road accident in Dhaka's Jatrabari early today.,None
6,The Daily Star,11/5/2020,7:30 AM,,Port Louis,6,30,,,https://www.thedailystar.net/country/bagerhat-road-accident-5-killed-25-injured-1880740,"6 killed, 30 injured in Bagerhat road accident","07:18 PM, March 14, 2020 / LAST MODIFIED: 08:47 PM, March 14, 2020","Six people were killed and 30 others injured in a collision between a bus and truck on the Khulna-Mawa highway near Fakirhat upazila this afternoon. A Dhaka-bound bus of Razib Paribahan crashed into a truck coming from the opposite direction around 4:00pm leaving five people dead on the spot, our Bagerhat correspondent reports quoting Officer-in-Charge of Fakirhat Police Station Abu Sayeed Khairul Anam. Three women, a child and two men were killed in the accident, the OC said without giving further details.   He said among one of the female victims succumbed to her injuries on the way to Khulna Medical College Hospital. The bodies of the rest were kept at Fakirhat Upazila Health Complex and Katakhali Highway Police Station, the police officer said. Of the injured, 16 were sent to Khulna Medical College Hospital while the rest are now undergoing treatment at different local hospitals, he said. ",Six people were killed and 30 others injured in a collision between a bus and truck on the Khulna-Mawa highway near Fakirhat upazila this afternoon.,None
7,The Daily Star,,,,,,,,,https://www.thedailystar.net/city/10-students-hurt-in-road-accident-teacher-hand-severed-1878889,"Teacher, 10 students hurt in road accident","04:40 PM, March 10, 2020 / LAST MODIFIED: 11:13 PM, March 10, 2020","A teacher's left hand was severed and at least 10 students of Dhaka's Willes Little Flower School and College were injured when a bus on a study tour collided with a parked truck in Gopalganj this afternoon. The teacher -- Fahima Begum (50) -- and a student with critical injuries were flown to Dhaka on an air-ambulance, said Monirul Islam, officer-in-charge of Gopalganj Sadar Police Station. The bus was headed towards Bangabandhu Mausoleum at Tungipara from Dhaka. The bus driver lost control over the steering wheel around 12:30pm near Ghonapara area and hit a truck parked on the roadside, leaving Fahima and 10 students injured, the OC added. A teacher of the civic department of the college, Fahima lives with her family in her Shantinagar residence. She, along with more than 100 students, nine teachers and some staff of the institution were going to Gopalganj from Dhaka this morning when the accident took place, her colleague and family members said. After primary treatment at a local hospital, Fahima was flown to Dhaka and admitted to Sheikh Hasina National Burn and Plastic Surgery Institute in the capital around 4:00pm. Other injured were also being taken to Dhaka by ambulance till filing of this report this evening. Samanta Lal Sen, chief coordinator of the institute, said Fahima's condition is critical. Her left arm, till the elbow, had been severed. She also had injuries on her right hand, head and other parts of her body, he said. She is undergoing surgery and senior doctors were trying to reattach her severed hand this afternoon, Sen said, adding she will be given treatment for other injuries later. ",A teacher's left hand was severed and at least 10 students of Dhaka's Willes Little Flower School and College were injured when a bus on a study tour collided with a parked truck in Gopalganj this afternoon.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/palo_0.jpg?itok=2ch53Y4-&c=4b2dc40105db5fd98ed00eafbf81dc84
8,The Daily Star,,,,,2,,,,https://www.thedailystar.net/country/news/national-volleyball-team-goalkeeper-among-2-killed-kushtia-road-accident-1871194,National handball team goalkeeper among 2 killed in Kushtia road accident,"06:06 PM, February 21, 2020 / LAST MODIFIED: 06:54 PM, February 21, 2020","Two people were killed today in a road accident involving a motorcycle and a battery-run three-wheeler at Daulatpur upazila of Kushtia.  The deceased were Sohanur Rahman (21), goalkeeper of Bangladesh National Handball Team, and his cousin Hridoy Khan -- both hailing from Char Mahirbadi village in Philipnagar union under the upazila, reports our Kushtia correspondent quoting police. The incident happened around 9:00am at Hossenabad Centre Intersection in Daulatpur. Sohan and Hridoy, on a motorbike, were going to a local market when the unlicensed three-wheeler (locally called Nasiman) from the opposite direction hit them, leaving them critically injured, said SM Arifuzzaman, officer-in-charge of Daulatpur Police Station. They were rushed to Kushtia General Hospital where Hridoy succumbed to his injuries around 12:00pm, the OC said. Sohan was referred to Dhaka for better treatment and died on the way around 4:00pm. Police later sent the bodies of the deceased to morgue for autopsy, the OC said, adding that no case was filed in this connection yet. The driver of the three-wheeler fled from the scene after the accident, he added.       ",Two people were killed today in a road accident involving a motorcycle and a battery-run three-wheeler at Daulatpur upazila of Kushtia. ,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/sohanur.jpg?itok=hzFIleod
9,The Daily Star,,,,,1,,,,https://www.thedailystar.net/city/news/biker-killed-after-bus-runs-him-over-sayedabad-1860247,Biker killed after bus runs him over in Sayedabad,"05:14 PM, January 28, 2020 / LAST MODIFIED: 05:17 PM, January 28, 2020","A man died after a bus ran him over at Dhaka’s Sayedabad area in the capital today. The victim, Omar Faruq Tuhin (28), fell from his motorcycle and was crushed under the wheels of a bus, said Inspector Bacchu Miah of Dhaka Medical College Hospital (DMCH) police outpost. Omar Faruq was on his way to Jatrabari from Motijheel when a ‘Ashiyan City Paribahan’ bus hit his motorbike from the back in front of Sayedabad Ideal School and College at 11:30am. As soon as he fell from the impact, a ‘Turag Paribahan’ bus ran him over leaving him critically injured, the police official said. Tuhin was declared dead after he was rushed to DMCH. Police seized both the buses and detained the drivers, the official added.     ",A man died after a bus ran him over at Dhaka’s Sayedabad area in the capital today.,https://assetsds.cdnedge.bluemix.net/sites/default/files/styles/big_2/public/feature/images/accident_2_78.jpg?itok=0eSSVIvN&c=fbd851d5251cd72546ed6183ab0b9ce4
10,The Daily Star,,,,,,30,,,https://www.thedailystar.net/country/road-accident-30-passengers-hurt-picnic-bus-falls-into-ditch-1855750,30 hurt as bus falls into ditch in Cox’s Bazar,"01:07 PM, January 18, 2020 / LAST MODIFIED: 02:50 PM, January 18, 2020","At least 30 passengers of a rental bus were injured after the vehicle fell into a ditch beside the Chattogram-Cox's Bazar highway in Ramu upazila early today. Among the victims, one critically injured passenger has been sent to Dhaka, and four others have been sent to Chattogram Medical College Hospital for further treatment, our Cox's Bazar correspondent reports, quoting Shaheen Md Abdur Rahman, resident medical officer of the district Sadar hospital. Details about the victims are still emerging. Most of the victims are students of different universities including Dhaka University, Dhaka Medical College and Government Titumir College, reports our Cox's Bazar correspondent. The accident took place in Lomba Bridge area around 6:30 AM, the correspondent quoted police as saying. Md Kamal Hossain, an injured passenger at the hospital, said it happened when the driver of the bus tried to overtake an easy bike on the highway. Officer-in-charge of Ramu Police Station Abul Khayer said efforts were underway to recover the bus. ",At least 30 passengers of a rental bus were injured after the vehicle fell into a ditch beside the Chattogram-Cox's Bazar highway in Ramu upazila early today.,None
