Newspaper Name,Published date,Header,Article,Newspaper Link
New Age BD,"Jul 03,2021"," Five killed, five injured in Tangail road accident "," Five killed, five injured in Tangail road accident ",https://www.newagebd.net/article/142693/five-killed-five-injured-in-tangail-road-accident
New Age BD,"Jun 30,2021",Three killed in Chattogram road accidents,"The deceased were identified as autorickshaw driver Sultan, 28, and passenger Khatiza Begum, 65, said officials.The accident took place when the autorickshaw drowned at the Chasma canal while it was moving through the adjacent road at about 12:00pm, said a witness Rahul Das.Local people rescued the duo and took them to Chattogram Medical College Hospital where doctors declared them dead, said assistant sub-inspector Shilabrata Barua of the hospital police outpost.Meanwhile, a 12-grader was killed in a road accident at AK Khan Ispahani circle area at about 12:20pm.The deceased was identified as Md Sazzad, 17, said ASI Shilabrata Barua.The bodies were kept at the hospital morgue, he added.More about:",https://www.newagebd.net/article/142383/three-killed-in-chattogram-road-accidents
New Age BD,"Jun 30,2021",Three youths killed in Satkhira road accident,"The incident took place at about 10:00pm.The deceased were identified as Mamun Hossain, 17, son of Jahangir Hossain of Alipur union, Ashraful Islam, 25, son of Taslima Khatun, and Sajib, 19, son of Mofizul Islam of the same union.Debhata police station officer-in-charge Biplob Kumar Saha said that the three youths were on their way to Satkhira on a motorcycle. Their motorcycle hit an electricity pole while giving space to a freight truck near the Parulia High School area.Three of them died on the spot, the OC said.Their bodies were recovered and sent to Satkhira Sadar Hospital morgue.More about:",https://www.newagebd.net/article/142373/three-youths-killed-in-satkhira-road-accident
New Age BD,"Jun 29,2021",Two killed in Chattogram road accidents,"The deceased were identified as Badsha Mia, 50, a resident of West Chambal area at Banshkhali and Md Shahadat Hossain Liton, 30, of Senbag upazila in Noakhali, according to officials.Badsha Mia was killed as a CNG-run auto-rickshaw collided with a truck near West Chambal area at Banshkhali upazila.  Md Shafiul Kabir, officer-in-charge of Banshkhali police station confirmed the incident. Auto-rickshaw passenger Badsha Mia was killed on the spot, he also added.In another mishap, Shahadat Hossain Liton was killed by stroke of a speedy motorcycle while victim was crossing road in Kumira area of Sitakunda. Shahadat Hossain Liton was rushed to CMCH where the duty doctor declared him dead, he said.The bodies were sent to CMCH morgue for autopsy, officials said.More about:",https://www.newagebd.net/article/142269/two-killed-in-chattogram-road-accidents
New Age BD,"Jun 28,2021"," 2 killed, 5 wounded in Cumilla road accident ","The identities of the deceased and injured persons could not be known immediately, police said.Elliot Ganj highway police assistant sub-inspector Ali told BSS that the accident occurred near Chandina Palaki Cinema Hall area at about 5:30am, when a CDM Paribahan bus fell into a roadside ditch as its driver lost control over the steering, leaving the bus driver and helper dead on the spot and injuring others.Being informed, police rushed to the spot and rescued the injured persons in critical condition.The wounded were taken to Chandina Upazila Health Complex for treatment, the ASI said.‘The bodies have been kept in the morgue,’ he said, adding that police were trying to find out the identities of the deceased.More about:",https://www.newagebd.net/article/142176/2-killed-5-wounded-in-cumilla-road-accident
New Age BD,"Jun 28,2021",Four killed in Jashore road crash,"The deceased were identified as Rafsan Chowdhury Sadnam, 30, former joint convener of Chattogram city unit of Jatiyatabadi Chhatra Dal, Mohammad Nayan, 35, M Mursalin,38 and Mohammad Joni Sawdagar, 40. All were residents of Muradnagar of Bayazid area of Chattogram. Among the deceased, Nayan died on way to Jashore General Hospital while injured Shahabuddin, 35, a businessman, was undergoing treatment at the hospital.Assistant sub-inspector of Nabharan highway police station Wahidul Islam said that the accident took place when the truck rammed into the private car which was heading towards Benapole, leaving three passengers of the car dead and another injured on the spot at about 12:30pm.Abhijit Roy, medical officer of Jashore General Hospital, said that Nayan brought dead at the hospital and the injured was out of danger.Injured Shahabuddin said that the accident took place while they were going to Benapole from Chattogram to buy sacrificial animal.Rajibur Rahman Sagar, president of Jashore district unit of Jatiyatabadi Chhatra Dal, said that the deceased and the injured were leaders and activists of JCD and Juba Dal.Police seized the damaged car and the truck, said the ASI.More about:",https://www.newagebd.net/article/142167/four-killed-in-jashore-road-crash
New Age BD,"Jun 22,2021"," One killed, five injured in Sunamganj road accident ","The identity of the deceased is yet to be established, cops said.The accident occurred near Joykolosh mor on Sunamganj-Sylhet Road around 9:00am.  According to police and eye-witnesses, the Sunamganj-bound speeding bus fell into the roadside canal after its driver lost control of the vehicle following a collision with a car while overtaking.Police and fire services personnel rescued the passengers of the ill-fated bus, after being alerted by passersby. While one body was fished out of the canal, the injured are undergoing treatment at a local hospital.Sub-inspector of South Sunamganj police station, Debashish Sutradhar, said efforts are on to identify the deceased passenger.Fire services staff are also trying to fish out the bus from the canal, he said.More about:",https://www.newagebd.net/article/141541/one-killed-five-injured-in-sunamganj-road-accident
New Age BD,"Jun 21,2021",Two people killed in Ctg road accident,"The deceased were identified as Zabed Hossain, 30 and his nephew Nazmul Hossain, 12, of the upazila.  The accident occurred around 10:00pm when the motorbike fell off the road after its rider lost control over it , leaving three people injured, said Shilbrata Barua, assistant sub-inspector of Chattogram Medical College and Hospital police camp.Later, they were taken to the hospital where the doctors declared the two dead.More about:",https://www.newagebd.net/article/141433/two-people-killed-in-ctg-road-accident
New Age BD,"Jun 19,2021"," Three, including minor girl, killed in Bogura road accident ","The deceased were identified as Ashraf Ali, 50, his wife Parul Khatun, 45, and their one-and-half-months old granddaughter Rezwan.The accident took place at Hathibanddha of Shibganj Upazila around 9:00am when the Rangpur-bound bus of Ahsan Paribahan from Dhaka had a head-on collision with the Bagura-bound auto-rickshaw.The three were killed on the spot, said Shibganj police station sub-inspector Mizan.The three injured were taken to Shaheed Ziaur Rahman Medical College and Hospital, he said.Fatal road accidents are common in Bangladesh.Road accidents during last Eid-ul-Fitr holiday rush claimed 323 lives in just 15 days, said Bangladesh Jatri Kalyan Shamiti.More about:",https://www.newagebd.net/article/141230/three-including-minor-girl-killed-in-bogura-road-accident
New Age BD,"Jun 19,2021",Cop killed in Dhaka road accident,"The victim Bashir Talukder was posted with Murpur Division of DMP and hailed from Dumki upazila of Patuakhali.Dhanmondi police station sub-inspector Polash Biswas said that Bashir went to Hajaribagh to fix a table fan and was returning to Mirpur.He was found critically injured following the accident on Dhanmondi Road 7 in the early hours of Saturday.Bashir was hit by a vehicle while riding his bicycle on the way to his Mirpur Police Order Management where he lives.Bashir was taken to a local hospital where the on-duty doctor declared him dead, said the SI.The body was later sent to the Dhaka Medical College morgue for post-mortem examinations.Police are trying to identify the vehicle that hit Bashir, added SI Biswas.More about:",https://www.newagebd.net/article/141227/cop-killed-in-dhaka-road-accident
