newspaper_name,date_of_incident,time_of_incident,incident_type,location,death_count,injury_count,type_of_vehicle1,type_of_vehicle2,driver_age,links,description_text,published_time,full_text
Samakal,07/21/2020,11:00 AM,collision,Dhaka-Tangail Highway,1,3,cng auto rickshaw,bus,42,https://en.samakal.com/bangladesh/article/2008372/-of-a-family-killed-in-tangail-road-accident,4 of a family killed in Tangail road accident,21-Aug-20,"Four people of a family were killed in a collision between a passengers bus and a CNG-run auto-rickshaw on the Dhaka-Tangail Highway here on Friday. The deceased were identified as Al Amin, 42, head teacher at Vadroshimul Dakhin Government Primary School under Bhuapur upazila of the district, his wife Sheuly Khatun, 34, Al Amin’s father Sohrab Hossain, 70 and his mother Saleha Begum, 64, reports BSS. Elenga Highway Police said the fatal accident occurred at around 11 am in Rabna bypass area on the busy Highway, leaving all the CNG passengers injured on the spot. The wounded were taken to Tangail General Hospital for treatment. Among them, one died while undergoing treatment at the hospital and three others succumbed to their injuries on the way to Dhaka. Critically injured Hajera, Al Amin’s sister, was shifted to Dhaka Medical College and Hospital (DMCH) as her condition deteriorated. Police seized both the vehicles and a case was filed in this connection, police sources added"
Samakal,06/25/2020,3:00 AM,collision,Kalyanpur area,3,6,private car,cng auto rickshaw,,https://en.samakal.com/bangladesh/article/2005333/-killed--hurt-in-city-road-accident,"3 killed, 6 hurt in city road accident",25-May-20,"Three people were killed and six others injured in a road accident at Kalyanpur area in the capital on Sunday night. Police sources said the accident occurred when two private cars and a CNG-run auto-rickshaw collided head on in the area, leaving three people dead on the spot and six others injured. The bodies of three deceased were sent to Shaheed Suhrawardy Medical College Hospital for autopsy. The identity of three deceased could not be known till the filing of this report. A case was filed in this connection."
Samakal,04/15/2021,9:00 AM,collision,Dhansura in Chapainawabganj's Nachole upazila,3,6,truck,cng auto rickshaw,,https://en.samakal.com/bangladesh/article/2105236/-paddy-harvesters-killed-in-road-accident-in-nachole,3 paddy harvesters killed in road accident in Nachole,15-May-21,"Three paddy harvesters were killed in a head-on collision between a truck and a three-wheeler at Dhansura in Chapainawabganj's Nachole upazila around 9am on Saturday.The deceased were identified as Rezaul Karim, Tosikul Islam and Alauddin Haque of Nandalalpur village under Chaudala union of Gomstapur upazila, said Nachole Upazila Parishad chairman Abdul Quader.A paddy-laden truck coming from Adda to Nachole collided head-on with the human hauler coming from the opposite direction. Three paddy harvesters fell off the truck and died on the spot and at least six other workers were injured in the incident.Station Master of Nachole Fire Service Ibrahim Hossain said locals and fire service personnel rescued them and admitted them to Nachole Upazila Health Complex. All the injured are residents of Chaudola village of Gomstapur upazila."
Samakal,08/07/2020,4:30 PM,collision,Raithura area of Mankon on the Muktagachha-Jamalpur road.,7,5,bus,cng auto rickshaw,,https://en.samakal.com/country/article/2008114/-killed-in-muktagachha-busautorickshaw-collision,7 killed in Muktagachha road accident,8-Aug-20,"Seven people have been killed in a head-on collision between a CNG-powered autorickshaw and a passenger bus at Raithura area of Mankon on the Muktagachha-Jamalpur road. The accident took place around 4:30 pm on Saturday.The deceased were identified as Aladul, 34, of Muktagachha, Nazrul Islam, 35, of Malajani, Nur Mohammad, 30, Taslima Akhter, 26, of Madhupur, Tangail and Liza Akhter, 13. The identities of the rest two were not known. The dead were all auto-rickshaw passengers.Confirming the incident, Officer-in-Charge (OC) of Muktagachha Police Station Biplob Kumar Biswas said seven passengers, including the driver of the auto-rickshaw,"
Samakal,07/01/2018,,collision,KSA,7,15,pickup van,private car,,https://en.samakal.com/bangladesh/article/180166/-bangladeshis-killed-in-ksa-road-accident,7 Bangladeshis killed in KSA road accident,7-Jan-18,"Seven Bangladeshi expatriates, believed to be road cleaners by profession,  were killed and 15 people injured in a road accident on the road between the governorates of Samtah and Al-Hareth, south of Jizan Province of Saudi Arabia on Saturday.Quoting official spokesman of the Red Crescent in Jizan, Beishi Al-Sarkhi, Saudi Arabian newspaper Riyadh Daily said a pick-up van collided head-on with a private car, leaving seven Bangladeshis dead on the spot.  The injured were rushed to the nearest hospital.Source: UNB "
Samakal,03/26/2021,2:00 PM,collision,Kapasia area on the Rajshahi-Dhaka highway,17,0,bus,bus,,https://en.samakal.com/bangladesh/article/2103363/-killed-in-rajshahi%E2%80%99s-fatal-road-accident,17 killed in Rajshahi’s fatal road accident,26-Mar-21,"A total of 17 people were killed in a three-dimensional road accident in Kapasia area on the Rajshahi-Dhaka highway under Katakhali Police Station in the city today.Police said the accident occurred when a Dhaka-bound passengers bus, a Rajshahi-bound microbus and a local human hauler collided head-on around 2 pm.Ruhul Quddus, Additional Deputy Commissioner of Rajshahi Metropolitan Police (RMP), said all the 11 passengers of the microbus were reportedly killed on the spot when its gas cylinder exploded after the incident.Six other people succumbed to their injuries at Rajshahi Medical College Hospital. Two others were undergoing treatment at the hospital, the police officer added.Of the deceased, 11 are male, four female and two minors. But, their identities could not be known immediately."
Samakal,06/06/2019,7:30 AM,collision,Congolese,1,0,private car,truck,,https://en.samakal.com/bangladesh/article/190536/%EF%BB%BFadditional-igp-rowshan-ara-dies-in-congo-road-accident,﻿Additional IGP Rowshan Ara dies in Congo road accident,6-May-19,"Additional Inspector General of Police (IGP) Rowshan Ara Begum has been killed in a road accident while on a United Nations peacekeeping mission in the Democratic Republic of the Congo.  The incident took place in the Congolese capital of Kinshasaon on Sunday 6:30am (local time), police headquarters said on Monday. Rowshan Ara was on her way to attend a Medal Parade of the BANFPU, the additional IGP died on the spot when her vehicle collided with a civil truck.Rowshan Ara Begum, ppm, ndc,began her career in the police force in February, 1988 and served in various capacities, including Assistant Police Commissioner of the Accounts Section, Reserve Office, Traffic Division and Training Unit of Dhaka Metropolitan Police."
Samakal,02/29/2020,12:00 AM,lost control,Godagari upazila of Rajshahi,6,3,private car,,,https://en.samakal.com/bangladesh/article/2002448/-killed-in-rajshahi-road-accident,6 killed in Rajshahi road accident,29-Feb-20,"Six persons, including children, were killed and two others  injured when the driver of a private car lost control  over the steering in Godagari upazila of Rajshahi on Saturday afternoon.The deceased were identified as Akkas Ali, 40, his wife Hosneara, 35, their daughter Musfira, 8, and four-month-old son Hasan Ali, of Monnaffermor in the city, Asia, 30, wife of Ramjan of Godagari upazila and driver Mahanubur Rahman, 40, of Meherchandi in the city.The accident took place on Rajshahi-Chapainawabganj highway around noon while they were going to attend a marriage ceremony, said Md Shahidullah, superintendent of Rajshahi Metropolitan Police (RMP).  Khairul Islam, officer-in-charge of Godagari Police Station, said three people, including the baby girl, were killed on the spot and four other suffered injuries.  On information, police recovered the bodies and sent the injured, including two children, to Rajshahi Medical College Hospital where they died, the OC added."
Samakal,02/06/2020,10:30 AM,collision,Naogaon-Rajshahi Regional Highway,0,1,micro bus,trackor,,https://en.samakal.com/bangladesh/article/2002111/js-whip-injured-in-road-accident,JS Whip injured in road accident,6-Feb-20,"Whip of parliament and lawmaker from Joypurhat-2 constituency Abu Sayeed Al Mahmood Swapon has been injured in a road accident in Manda upazila of Naogaon.The accident took place at Naogaon-Rajshahi Regional Highway in Ferry Ghat area of the upazila at 10:30 am on Thursday.Swapon was taken to Manda Upazila Health Complex with injuries in his right leg, said Officer-in-Charge of Manda Police Station Mozaffar Hossain.However, he started for Joypurhat again after receiving primary treatment at the health complex, the OC added.The tractor has been seized, said police.On information, Deputy Commissioner Harun-ur-Rashid and Superintendent of Police Abdul Mannan visited the spot.The JS whip flew to Rajshahi in the morning. He met the accident when he was going to Joytpurhat by his microbus from Rajshahi."
Samakal,02/08/2020,10:00 PM,lost control,Cox’s Bazar-Chattogram Highway,4,22,bus,,,https://en.samakal.com/chittagong/article/2002150/-killed-in-cox%E2%80%99s-bazar-road-accident,4 killed in Cox’s Bazar road accident,8-Feb-20,"At least four persons were killed and 22 others injured in a road accident on Cox’s Bazar-Chattogram Highway in Baniarchhora area under Chakaria upazila of the district on Friday night.The identities of the deceased could not be known immediately.Md Anisur Rahman, officer-in-charge of Chiringa Highway Police, told BSS that the accident occurred in the area around 10pm when a ‘Star Line Paribahan’ bus fell into a roadside ditch after its driver lost control over the steering, leaving four people dead on the spot and injuring 22 others.The injured were taken to Chakaria Upazila Health Complex for treatment.Later, police recovered the bodies from the spot, the OC added."
